Holiday_Date,Holiday_Description,state
2010-12-31,New Year's Day (Observed),CA
2011-01-01,New Year's Day,CA
2011-01-17,"Martin Luther King, Jr. Day",CA
2011-02-21,Washington's Birthday,CA
2011-05-30,Memorial Day,CA
2011-07-04,Independence Day,CA
2011-09-05,Labor Day,CA
2011-10-10,Columbus Day,CA
2011-11-11,Veterans Day,CA
2011-11-24,Thanksgiving,CA
2011-12-25,Christmas Day,CA
2011-12-26,Christmas Day (Observed),CA
2012-01-01,New Year's Day,CA
2012-01-02,New Year's Day (Observed),CA
2012-01-16,"Martin Luther King, Jr. Day",CA
2012-02-20,Washington's Birthday,CA
2012-05-28,Memorial Day,CA
2012-07-04,Independence Day,CA
2012-09-03,Labor Day,CA
2012-10-08,Columbus Day,CA
2012-11-11,Veterans Day,CA
2012-11-12,Veterans Day (Observed),CA
2012-11-22,Thanksgiving,CA
2012-12-25,Christmas Day,CA
2013-01-01,New Year's Day,CA
2013-01-21,"Martin Luther King, Jr. Day",CA
2013-02-18,Washington's Birthday,CA
2013-05-27,Memorial Day,CA
2013-07-04,Independence Day,CA
2013-09-02,Labor Day,CA
2013-10-14,Columbus Day,CA
2013-11-11,Veterans Day,CA
2013-11-28,Thanksgiving,CA
2013-12-25,Christmas Day,CA
2014-01-01,New Year's Day,CA
2014-01-20,"Martin Luther King, Jr. Day",CA
2014-02-17,Washington's Birthday,CA
2014-05-26,Memorial Day,CA
2014-07-04,Independence Day,CA
2014-09-01,Labor Day,CA
2014-10-13,Columbus Day,CA
2014-11-11,Veterans Day,CA
2014-11-27,Thanksgiving,CA
2014-12-25,Christmas Day,CA
2015-01-01,New Year's Day,CA
2015-01-19,"Martin Luther King, Jr. Day",CA
2015-02-16,Washington's Birthday,CA
2015-05-25,Memorial Day,CA
2015-07-03,Independence Day (Observed),CA
2015-07-04,Independence Day,CA
2015-09-07,Labor Day,CA
2015-10-12,Columbus Day,CA
2015-11-11,Veterans Day,CA
2015-11-26,Thanksgiving,CA
2015-12-25,Christmas Day,CA
2016-01-01,New Year's Day,CA
2016-01-18,"Martin Luther King, Jr. Day",CA
2016-02-15,Washington's Birthday,CA
2016-05-30,Memorial Day,CA
2016-07-04,Independence Day,CA
2016-09-05,Labor Day,CA
2016-10-10,Columbus Day,CA
2016-11-11,Veterans Day,CA
2016-11-24,Thanksgiving,CA
2016-12-25,Christmas Day,CA
2016-12-26,Christmas Day (Observed),CA
2010-12-31,New Year's Day (Observed),TX
2011-01-01,New Year's Day,TX
2011-01-17,"Martin Luther King, Jr. Day",TX
2011-02-21,Washington's Birthday,TX
2011-05-30,Memorial Day,TX
2011-07-04,Independence Day,TX
2011-09-05,Labor Day,TX
2011-10-10,Columbus Day,TX
2011-11-11,Veterans Day,TX
2011-11-24,Thanksgiving,TX
2011-12-25,Christmas Day,TX
2011-12-26,Christmas Day (Observed),TX
2012-01-01,New Year's Day,TX
2012-01-02,New Year's Day (Observed),TX
2012-01-16,"Martin Luther King, Jr. Day",TX
2012-02-20,Washington's Birthday,TX
2012-05-28,Memorial Day,TX
2012-07-04,Independence Day,TX
2012-09-03,Labor Day,TX
2012-10-08,Columbus Day,TX
2012-11-11,Veterans Day,TX
2012-11-12,Veterans Day (Observed),TX
2012-11-22,Thanksgiving,TX
2012-12-25,Christmas Day,TX
2013-01-01,New Year's Day,TX
2013-01-21,"Martin Luther King, Jr. Day",TX
2013-02-18,Washington's Birthday,TX
2013-05-27,Memorial Day,TX
2013-07-04,Independence Day,TX
2013-09-02,Labor Day,TX
2013-10-14,Columbus Day,TX
2013-11-11,Veterans Day,TX
2013-11-28,Thanksgiving,TX
2013-12-25,Christmas Day,TX
2014-01-01,New Year's Day,TX
2014-01-20,"Martin Luther King, Jr. Day",TX
2014-02-17,Washington's Birthday,TX
2014-05-26,Memorial Day,TX
2014-07-04,Independence Day,TX
2014-09-01,Labor Day,TX
2014-10-13,Columbus Day,TX
2014-11-11,Veterans Day,TX
2014-11-27,Thanksgiving,TX
2014-12-25,Christmas Day,TX
2015-01-01,New Year's Day,TX
2015-01-19,"Martin Luther King, Jr. Day",TX
2015-02-16,Washington's Birthday,TX
2015-05-25,Memorial Day,TX
2015-07-03,Independence Day (Observed),TX
2015-07-04,Independence Day,TX
2015-09-07,Labor Day,TX
2015-10-12,Columbus Day,TX
2015-11-11,Veterans Day,TX
2015-11-26,Thanksgiving,TX
2015-12-25,Christmas Day,TX
2016-01-01,New Year's Day,TX
2016-01-18,"Martin Luther King, Jr. Day",TX
2016-02-15,Washington's Birthday,TX
2016-05-30,Memorial Day,TX
2016-07-04,Independence Day,TX
2016-09-05,Labor Day,TX
2016-10-10,Columbus Day,TX
2016-11-11,Veterans Day,TX
2016-11-24,Thanksgiving,TX
2016-12-25,Christmas Day,TX
2016-12-26,Christmas Day (Observed),TX
2010-12-31,New Year's Day (Observed),TX
2011-01-01,New Year's Day,TX
2011-01-17,"Martin Luther King, Jr. Day",TX
2011-02-21,Washington's Birthday,TX
2011-05-30,Memorial Day,TX
2011-07-04,Independence Day,TX
2011-09-05,Labor Day,TX
2011-10-10,Columbus Day,TX
2011-11-11,Veterans Day,TX
2011-11-24,Thanksgiving,TX
2011-12-25,Christmas Day,TX
2011-12-26,Christmas Day (Observed),TX
2012-01-01,New Year's Day,TX
2012-01-02,New Year's Day (Observed),TX
