date,totalSnow_cm,FeelsLikeC,HeatIndexC,WindChillC,humidity,precipMM,tempC,state_id
2011-01-01,0.3,-1.4,1.0,-1.4,49.6,0.0,1.0,0
2011-01-10,0.0,0.1,2.5,0.1,55.0,0.0,2.5,0
2011-01-11,0.0,2.2,3.6,2.2,43.1,0.0,3.6,0
2011-01-12,0.0,5.2,5.9,5.2,48.3,0.0,5.9,0
2011-01-13,0.0,8.7,9.7,8.7,60.7,0.0,9.7,0
2011-01-14,0.0,10.4,11.0,10.4,59.3,0.0,11.1,0
2011-01-15,0.0,11.8,11.9,11.8,57.0,0.0,11.9,0
2011-01-16,0.0,13.1,13.5,13.1,60.1,0.0,13.3,0
2011-01-17,0.0,14.2,14.6,14.2,57.2,0.0,14.6,0
2011-01-18,0.0,12.9,13.5,12.9,39.7,0.0,13.5,0
2011-01-19,0.0,10.0,11.2,10.0,44.2,0.0,11.2,0
2011-01-02,2.2,-4.3,-0.6,-4.3,83.8,0.2,-0.6,0
2011-01-20,0.0,7.1,8.1,7.1,44.5,0.0,8.1,0
2011-01-21,0.0,9.5,9.7,9.5,30.5,0.0,9.6,0
2011-01-22,0.0,12.8,13.3,12.8,36.1,0.0,13.2,0
2011-01-23,0.0,7.7,8.3,7.7,46.5,0.0,8.3,0
2011-01-24,0.0,11.3,11.4,11.3,32.5,0.0,11.4,0
2011-01-25,0.0,11.1,10.9,11.1,32.7,0.0,10.9,0
2011-01-26,0.0,9.2,9.9,9.2,36.5,0.0,9.9,0
2011-01-27,0.0,10.0,10.3,10.0,29.0,0.0,10.3,0
2011-01-28,0.0,12.0,12.6,12.0,22.5,0.0,12.5,0
2011-01-29,0.0,10.5,11.7,10.5,28.3,0.0,11.6,0
2011-01-03,0.5,-2.3,0.2,-2.3,90.6,0.0,0.2,0
2011-01-30,0.0,4.9,7.7,4.9,66.1,0.0,7.7,0
2011-01-31,0.0,6.1,7.8,6.1,54.5,0.0,7.8,0
2011-01-04,0.0,-0.3,1.1,-0.3,92.4,0.0,1.1,0
2011-01-05,0.0,2.3,3.2,2.3,85.5,0.0,3.2,0
2011-01-06,0.0,3.7,4.7,3.7,65.7,0.0,4.7,0
2011-01-07,0.0,5.7,6.7,5.7,58.2,0.0,6.7,0
2011-01-08,0.0,4.2,6.5,4.2,64.1,0.0,6.5,0
2011-01-09,0.0,0.9,4.7,0.9,54.4,0.0,4.7,0
2011-10-01,0.0,24.9,25.0,25.9,24.9,0.0,25.9,0
2011-10-10,0.0,18.2,18.5,18.3,34.0,0.0,18.7,0
2011-10-11,0.0,20.5,20.7,20.5,43.3,0.0,20.6,0
2011-10-12,0.0,23.9,24.0,24.9,18.5,0.0,24.7,0
2011-10-13,0.0,25.0,25.1,26.3,15.7,0.0,26.3,0
2011-10-14,0.0,25.2,25.2,26.7,11.9,0.0,26.7,0
2011-10-15,0.0,23.6,23.7,24.7,18.5,0.0,24.6,0
2011-10-16,0.0,22.5,22.5,23.4,23.7,0.0,23.3,0
2011-10-17,0.0,23.9,23.9,24.7,21.2,0.0,24.7,0
2011-10-18,0.0,23.0,23.0,24.0,14.0,0.0,24.0,0
2011-10-19,0.0,21.3,21.4,21.8,27.4,0.0,21.8,0
2011-10-02,0.0,24.3,24.7,24.7,33.2,0.0,24.7,0
2011-10-20,0.0,21.3,21.3,21.9,23.1,0.0,21.9,0
2011-10-21,0.0,21.5,21.5,22.1,17.5,0.0,22.1,0
2011-10-22,0.0,22.1,22.1,22.9,11.5,0.0,22.8,0
2011-10-23,0.0,21.6,21.5,22.3,13.9,0.0,22.3,0
2011-10-24,0.0,21.6,21.5,22.4,18.0,0.0,22.4,0
2011-10-25,0.0,16.7,17.7,16.7,38.5,0.0,17.7,0
2011-10-26,0.0,13.9,14.6,13.9,11.7,0.0,14.5,0
2011-10-27,0.0,13.4,13.7,13.4,11.5,0.0,13.6,0
2011-10-28,0.0,15.6,15.5,15.6,8.5,0.0,15.5,0
2011-10-29,0.0,17.3,17.3,17.3,12.3,0.0,17.4,0
2011-10-03,0.0,21.9,22.0,22.2,35.5,0.0,22.2,0
2011-10-30,0.0,19.9,19.9,20.1,12.0,0.0,20.1,0
2011-10-31,0.0,18.5,18.8,18.7,14.0,0.0,19.0,0
2011-10-04,0.0,15.9,16.4,15.9,49.2,0.0,16.4,0
2011-10-05,0.0,8.7,11.8,8.7,65.2,0.0,11.7,0
2011-10-06,0.0,8.7,11.2,8.7,41.3,0.0,11.1,0
2011-10-07,0.0,13.3,13.9,13.3,33.8,0.0,13.9,0
2011-10-08,0.0,17.9,17.9,17.9,25.5,0.0,17.9,0
2011-10-09,0.0,18.7,19.1,18.7,25.7,0.0,18.7,0
2011-11-01,0.0,17.1,17.8,17.1,18.5,0.0,17.8,0
2011-11-10,0.0,10.7,12.5,10.7,17.6,0.0,12.4,0
2011-11-11,0.0,12.3,12.5,12.3,34.1,0.0,12.5,0
2011-11-12,0.0,8.9,10.7,8.9,39.6,0.0,10.7,0
2011-11-13,0.0,11.7,13.0,11.7,49.5,0.0,12.9,0
2011-11-14,0.0,12.5,13.5,12.5,40.7,0.0,13.5,0
2011-11-15,0.0,11.5,12.5,11.5,47.0,0.0,12.5,0
2011-11-16,0.0,12.8,13.1,12.8,40.1,0.0,13.1,0
2011-11-17,0.0,12.0,13.1,12.0,28.0,0.0,13.1,0
2011-11-18,0.0,7.7,10.7,7.7,41.7,0.0,10.7,0
2011-11-19,0.0,5.9,8.9,5.9,55.9,0.0,8.9,0
2011-11-02,0.0,11.3,12.8,11.3,8.9,0.0,12.8,0
2011-11-20,0.0,5.9,7.1,5.9,77.5,0.1,7.1,0
2011-11-21,0.0,8.1,8.6,8.1,50.1,0.0,8.6,0
2011-11-22,0.0,8.3,9.3,8.3,46.5,0.0,9.3,0
2011-11-23,0.0,10.7,11.5,10.7,52.1,0.0,11.5,0
2011-11-24,0.0,7.9,9.7,7.9,49.7,0.0,9.7,0
2011-11-25,0.0,9.5,10.0,9.5,47.2,0.0,10.0,0
2011-11-26,0.0,12.7,13.3,12.7,22.2,0.0,13.3,0
2011-11-27,0.0,13.6,13.6,13.6,22.2,0.0,13.5,0
2011-11-28,0.0,14.5,14.9,14.5,18.1,0.0,14.9,0
2011-11-29,0.0,15.1,15.2,15.1,17.9,0.0,15.2,0
2011-11-03,0.0,13.1,14.4,13.1,35.7,0.0,14.3,0
2011-11-30,0.0,7.7,10.3,7.7,28.1,0.0,10.3,0
2011-11-04,0.0,2.4,6.5,2.4,57.7,0.0,6.4,0
2011-11-05,0.0,3.4,7.0,3.4,38.3,0.0,7.0,0
2011-11-06,0.0,3.2,6.6,3.2,54.3,0.0,6.6,0
2011-11-07,0.0,6.5,8.2,6.5,44.0,0.0,8.1,0
2011-11-08,0.0,7.7,8.8,7.7,32.1,0.0,8.8,0
2011-11-09,0.0,9.7,11.5,9.7,20.4,0.0,11.5,0
2011-12-01,0.0,4.6,8.0,4.6,24.6,0.0,8.1,0
2011-12-10,0.0,7.5,8.3,7.5,21.3,0.0,8.3,0
2011-12-11,0.0,5.8,7.4,5.8,50.1,0.0,7.3,0
2011-12-12,0.0,2.2,5.4,2.2,66.9,0.2,5.3,0
2011-12-13,0.0,4.1,6.2,4.1,55.4,0.0,6.2,0
2011-12-14,0.0,5.5,6.8,5.5,46.8,0.0,6.7,0
2011-12-15,0.0,3.2,6.3,3.2,47.4,0.0,6.3,0
2011-12-16,0.0,5.7,8.9,5.7,33.0,0.0,8.9,0
2011-12-17,0.0,7.7,9.9,7.7,33.9,0.0,9.9,0
2011-12-18,0.0,8.2,9.1,8.2,31.4,0.0,9.1,0
2011-12-19,0.0,7.4,8.1,7.4,37.5,0.0,8.1,0
2011-12-02,0.0,7.5,9.1,7.5,29.6,0.0,9.1,0
2011-12-20,0.0,6.0,7.3,6.0,41.1,0.0,7.4,0
2011-12-21,0.0,9.0,9.9,9.0,38.5,0.0,9.9,0
2011-12-22,0.0,1.6,5.0,1.6,16.3,0.0,5.0,0
2011-12-23,0.0,6.4,7.1,6.4,17.3,0.0,7.1,0
2011-12-24,0.0,7.1,8.4,7.1,14.7,0.0,8.4,0
2011-12-25,0.0,7.6,8.3,7.6,24.5,0.0,8.3,0
2011-12-26,0.0,8.5,9.3,8.5,25.1,0.0,9.2,0
2011-12-27,0.0,8.5,8.9,8.5,30.2,0.0,8.9,0
2011-12-28,0.0,11.1,11.8,11.1,28.9,0.0,11.8,0
2011-12-29,0.0,12.9,13.7,12.9,45.1,0.0,13.6,0
2011-12-03,0.0,1.3,4.9,1.3,18.0,0.0,4.9,0
2011-12-30,0.0,11.3,12.9,11.3,35.2,0.0,12.7,0
2011-12-31,0.0,13.3,13.9,13.3,23.7,0.0,13.9,0
2011-12-04,0.0,4.7,5.7,4.7,18.1,0.0,5.7,0
2011-12-05,0.0,1.9,4.9,1.9,26.1,0.0,4.9,0
2011-12-06,0.0,2.3,4.5,2.3,26.4,0.0,4.3,0
2011-12-07,0.0,5.5,6.5,5.5,27.4,0.0,6.5,0
2011-12-08,0.0,6.7,7.9,6.7,30.9,0.0,7.9,0
2011-12-09,0.0,6.8,8.3,6.8,27.4,0.0,8.3,0
2011-02-01,0.0,6.3,8.3,6.3,38.5,0.0,8.3,0
2011-02-10,0.0,5.9,6.9,5.9,26.2,0.0,6.9,0
2011-02-11,0.0,8.4,9.4,8.4,20.4,0.0,9.4,0
2011-02-12,0.0,11.7,12.1,11.7,15.9,0.0,12.1,0
2011-02-13,0.0,11.8,12.4,11.8,19.5,0.0,12.4,0
2011-02-14,0.0,10.4,11.7,10.4,41.8,0.0,11.6,0
2011-02-15,0.0,11.0,12.5,11.0,51.8,0.0,12.5,0
2011-02-16,0.0,4.5,7.9,4.5,70.8,0.1,7.8,0
2011-02-17,0.0,4.4,6.9,4.4,45.9,0.0,6.9,0
2011-02-18,0.0,7.3,8.5,7.3,57.9,0.2,8.5,0
2011-02-19,0.0,2.8,5.3,2.8,65.3,0.0,5.3,0
2011-02-02,0.0,1.3,3.3,1.3,36.0,0.0,3.3,0
2011-02-20,0.3,1.9,4.2,1.9,66.0,0.0,4.1,0
2011-02-21,0.0,4.7,5.9,4.7,51.8,0.0,5.9,0
2011-02-22,0.0,6.1,7.3,6.1,46.6,0.0,7.3,0
2011-02-23,0.0,4.8,7.4,4.8,45.7,0.0,7.4,0
2011-02-24,0.0,4.1,7.3,4.1,47.5,0.0,7.3,0
2011-02-25,0.0,3.9,7.5,3.9,69.9,0.1,7.5,0
2011-02-26,0.3,0.9,4.0,0.9,63.4,0.0,4.0,0
2011-02-27,0.0,9.4,10.9,9.4,46.3,0.0,10.9,0
2011-02-28,0.0,6.5,7.0,6.5,55.7,0.0,6.9,0
2011-02-03,0.0,6.2,7.3,6.2,30.2,0.0,7.3,0
2011-02-04,0.0,12.1,12.7,12.1,31.3,0.0,12.7,0
2011-02-05,0.0,13.1,13.5,13.1,33.6,0.0,13.5,0
2011-02-06,0.0,10.3,10.9,10.3,41.5,0.0,10.9,0
2011-02-07,0.0,13.3,14.7,13.3,30.1,0.0,14.7,0
2011-02-08,0.0,5.8,7.3,5.8,33.2,0.0,7.3,0
2011-02-09,0.0,5.1,6.8,5.1,27.0,0.0,6.8,0
2011-03-01,0.0,8.3,9.3,8.3,50.7,0.0,9.3,0
2011-03-10,0.0,16.1,16.7,16.1,29.1,0.0,16.9,0
2011-03-11,0.0,13.1,14.1,13.1,36.0,0.0,14.1,0
2011-03-12,0.0,12.1,13.1,12.1,36.5,0.0,13.1,0
2011-03-13,0.0,14.1,15.1,14.1,32.0,0.0,15.0,0
2011-03-14,0.0,15.2,16.0,15.2,37.5,0.0,16.0,0
2011-03-15,0.0,16.2,16.7,16.3,35.8,0.0,16.9,0
2011-03-16,0.0,13.3,14.2,13.3,45.7,0.0,14.2,0
2011-03-17,0.0,9.8,11.2,9.8,20.7,0.0,11.2,0
2011-03-18,0.0,11.5,12.7,11.5,25.5,0.0,12.7,0
2011-03-19,0.0,5.9,8.2,5.9,50.4,0.0,8.2,0
2011-03-02,0.0,11.5,12.3,11.5,49.5,0.0,12.3,0
2011-03-20,0.0,5.3,7.8,5.3,67.5,0.2,7.7,0
2011-03-21,0.0,2.7,6.1,2.7,64.0,0.0,6.0,0
2011-03-22,0.0,6.1,7.9,6.1,54.5,0.0,7.9,0
2011-03-23,0.0,5.0,7.0,5.0,65.6,0.1,7.0,0
2011-03-24,0.0,4.9,7.7,4.9,68.8,0.0,7.7,0
2011-03-25,0.0,5.5,8.1,5.5,63.9,0.0,8.1,0
2011-03-26,0.0,6.0,9.0,6.0,69.4,0.0,8.9,0
2011-03-27,0.0,8.7,10.9,8.7,52.7,0.0,10.8,0
2011-03-28,0.0,12.1,12.9,12.1,54.5,0.0,12.9,0
2011-03-29,0.0,14.7,15.3,14.7,51.7,0.0,15.1,0
2011-03-03,0.0,10.9,12.2,10.9,37.1,0.0,12.3,0
2011-03-30,0.0,17.7,17.7,17.7,35.5,0.0,17.7,0
2011-03-31,0.0,20.9,20.9,21.8,23.6,0.0,21.8,0
2011-03-04,0.0,10.9,12.1,10.9,38.3,0.0,12.1,0
2011-03-05,0.0,11.1,12.5,11.1,35.2,0.0,12.5,0
2011-03-06,0.0,9.5,11.2,9.5,60.5,0.0,11.1,0
2011-03-07,0.0,4.2,7.4,4.2,60.6,0.0,7.4,0
2011-03-08,0.0,12.1,12.5,12.1,47.7,0.0,12.5,0
2011-03-09,0.0,14.8,15.1,14.8,26.9,0.0,15.1,0
2011-04-01,0.0,22.9,22.9,24.1,22.3,0.0,24.1,0
2011-04-10,0.0,11.6,12.3,11.6,28.5,0.0,12.3,0
2011-04-11,0.0,14.9,15.4,14.9,30.8,0.0,15.4,0
2011-04-12,0.0,14.3,15.1,14.3,26.6,0.0,15.1,0
2011-04-13,0.0,7.2,9.8,7.2,33.3,0.0,9.8,0
2011-04-14,0.0,13.7,14.3,13.7,29.2,0.0,14.3,0
2011-04-15,0.0,17.7,18.3,18.1,34.4,0.0,18.6,0
2011-04-16,0.0,20.5,20.6,21.3,34.9,0.0,21.5,0
2011-04-17,0.0,19.8,20.0,20.2,34.8,0.0,20.4,0
2011-04-18,0.0,16.0,16.9,16.0,43.4,0.0,16.7,0
2011-04-19,0.0,17.6,18.1,17.9,28.7,0.0,18.4,0
2011-04-02,0.0,18.5,19.3,18.4,44.3,0.0,19.1,0
2011-04-20,0.0,16.7,17.3,16.7,41.1,0.0,17.3,0
2011-04-21,0.0,15.3,16.1,15.3,30.9,0.0,16.1,0
2011-04-22,0.0,16.6,17.3,16.6,26.2,0.0,17.3,0
2011-04-23,0.0,15.3,16.1,15.3,40.4,0.0,16.1,0
2011-04-24,0.0,14.1,15.3,14.1,33.8,0.0,15.3,0
2011-04-25,0.0,13.5,14.4,13.5,39.7,0.0,14.4,0
2011-04-26,0.0,14.1,14.9,14.1,33.4,0.0,14.8,0
2011-04-27,0.0,18.4,18.6,18.7,23.3,0.0,19.1,0
2011-04-28,0.0,17.6,18.5,17.8,26.5,0.0,18.5,0
2011-04-29,0.0,12.4,13.1,12.4,31.3,0.0,13.1,0
2011-04-03,0.0,16.3,16.5,16.3,32.4,0.0,16.5,0
2011-04-30,0.0,12.1,12.3,12.1,22.8,0.0,12.3,0
2011-04-04,0.0,15.1,15.2,15.1,14.5,0.0,15.2,0
2011-04-05,0.0,18.3,18.9,18.8,23.1,0.0,19.3,0
2011-04-06,0.0,15.9,16.9,15.9,26.1,0.0,16.8,0
2011-04-07,0.0,4.9,8.3,4.9,61.3,0.1,8.2,0
2011-04-08,0.0,2.5,5.2,2.5,47.7,0.0,5.2,0
2011-04-09,0.0,4.3,6.7,4.3,44.6,0.0,6.7,0
2011-05-01,0.0,14.2,14.2,14.2,9.5,0.0,14.2,0
2011-05-10,0.0,15.9,16.4,15.9,26.5,0.0,16.3,0
2011-05-11,0.0,20.1,20.1,20.4,26.0,0.0,20.4,0
2011-05-12,0.0,22.9,22.9,23.5,20.8,0.0,23.5,0
2011-05-13,0.0,23.5,23.7,24.4,27.7,0.0,24.4,0
2011-05-14,0.0,17.4,18.2,17.3,45.5,0.0,17.8,0
2011-05-15,0.0,8.9,11.7,8.9,36.3,0.0,11.7,0
2011-05-16,0.0,10.9,12.9,10.9,38.5,0.0,12.9,0
2011-05-17,0.0,12.1,14.0,12.1,50.8,0.0,14.0,0
2011-05-18,0.0,8.9,11.5,8.9,49.2,0.0,11.5,0
2011-05-19,0.0,14.6,15.6,14.6,39.3,0.0,15.6,0
2011-05-02,0.0,17.2,17.2,17.5,9.5,0.0,17.4,0
2011-05-20,0.0,20.1,20.1,20.5,27.6,0.0,20.5,0
2011-05-21,0.0,21.5,21.5,21.9,31.8,0.0,21.9,0
2011-05-22,0.0,18.9,19.2,19.1,26.5,0.0,19.4,0
2011-05-23,0.0,14.7,16.1,14.7,22.7,0.0,16.1,0
2011-05-24,0.0,19.3,19.3,19.3,19.1,0.0,19.3,0
2011-05-25,0.0,21.2,21.2,21.9,25.1,0.0,21.9,0
2011-05-26,0.0,16.8,17.4,16.8,29.8,0.0,17.4,0
2011-05-27,0.0,17.9,18.9,17.9,35.1,0.0,18.5,0
2011-05-28,0.0,18.8,19.1,18.8,31.8,0.0,18.9,0
2011-05-29,0.0,23.7,23.7,24.6,21.6,0.0,24.6,0
2011-05-03,0.0,22.0,22.1,22.9,15.9,0.0,23.0,0
2011-05-30,0.0,19.3,19.4,19.3,22.9,0.0,19.4,0
2011-05-31,0.0,20.1,20.1,20.5,15.3,0.0,20.5,0
2011-05-04,0.0,22.1,22.1,23.1,10.1,0.0,23.1,0
2011-05-05,0.0,24.4,24.4,25.7,10.7,0.0,25.6,0
2011-05-06,0.0,23.9,23.9,25.1,14.4,0.0,25.1,0
2011-05-07,0.0,20.4,20.7,21.1,24.3,0.0,21.4,0
2011-05-08,0.0,13.8,15.0,13.8,47.5,0.0,15.0,0
2011-05-09,0.0,10.1,12.7,10.1,31.5,0.0,12.6,0
2011-06-01,0.0,15.6,16.8,15.6,31.9,0.0,16.6,0
2011-06-10,0.0,22.9,22.9,23.6,21.7,0.0,23.6,0
2011-06-11,0.0,19.9,20.3,20.1,31.3,0.0,20.3,0
2011-06-12,0.0,20.4,20.9,20.5,38.9,0.0,20.8,0
2011-06-13,0.0,24.1,24.3,24.7,27.5,0.0,24.7,0
2011-06-14,0.0,28.1,28.1,29.5,19.9,0.0,29.5,0
2011-06-15,0.0,27.2,27.2,28.7,18.8,0.0,28.7,0
2011-06-16,0.0,24.9,24.9,26.1,24.6,0.0,26.1,0
2011-06-17,0.0,23.9,24.0,24.3,34.8,0.0,24.3,0
2011-06-18,0.0,24.7,24.7,25.4,29.7,0.0,25.3,0
2011-06-19,0.0,25.0,25.1,26.1,22.9,0.0,26.0,0
2011-06-02,0.0,14.9,15.8,14.9,23.9,0.0,15.7,0
2011-06-20,0.0,27.5,27.5,29.3,13.9,0.0,29.3,0
2011-06-21,0.0,31.0,31.0,32.9,11.5,0.0,32.9,0
2011-06-22,0.0,30.6,30.6,32.4,14.5,0.0,32.4,0
2011-06-23,0.0,29.9,29.9,31.7,17.7,0.0,31.7,0
2011-06-24,0.0,27.1,27.1,28.7,15.9,0.0,28.7,0
2011-06-25,0.0,26.0,26.0,27.5,15.1,0.0,27.6,0
2011-06-26,0.0,27.3,27.3,29.0,15.9,0.0,29.0,0
2011-06-27,0.0,29.4,29.4,30.9,16.1,0.0,30.9,0
2011-06-28,0.0,26.8,27.0,28.3,23.0,0.0,28.3,0
2011-06-29,0.0,20.8,21.1,20.6,38.3,0.0,20.7,0
